店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
名駅酒場 魚正宗,050-5488-3381,,愛知県,名古屋市中村区名駅,3-11-16,,,
黒毛和牛ひつまぶし雅じゃぽ 名駅シンフォニー豊田ビル店,050-5492-0682,,愛知県,名古屋市中村区名駅,4-11-27,シンフォニー豊田ビルB1,,
うなぎ 四代目菊川 名古屋グローバルゲート店,050-5487-1788,,愛知県,名古屋市中村区平池町,4,グローバルゲート3F,,
尾毛多セコ代 柳橋市場店,050-5492-6832,,愛知県,名古屋市中村区名駅,4-15-30,,,
和食 個室 ほっこりルーセント,050-5485-5572,,愛知県,名古屋市西区牛島町,6-1,名古屋ルーセントタワー2F,,
個室焼鳥 風月 名古屋本店,050-5485-1446,,愛知県,名古屋市西区那古野,1-18-13,,,
はかた野菜巻き串 こだわり酎ハイ きばくもん 名駅店,050-5486-9875,,愛知県,名古屋市中村区名駅,3-24-9,吉十ビル,,
えん 名古屋JRセントラルタワーズ店,050-5485-6388,,愛知県,名古屋市中村区名駅,1-1-4,JRセントラルタワーズ13F,,
八丁ぼり 名駅3丁目店,050-5484-8812,,愛知県,名古屋市中村区名駅,3-18-22,,,
個室完備 まぐろ居酒屋 さかなや道場 名古屋駅太閤通口店,050-5486-2820,,愛知県,名古屋市中村区椿町,15-2,ミタニビル5F,,
札幌かに本家 名古屋駅前店,050-5492-2567,,愛知県,名古屋市中村区名駅南,1-17-20,,,
いけす酒場 ぴち天 名駅中店,050-5484-9303,,愛知県,名古屋市中村区名駅,4-5-28,桜通り豊田ビルB1,,
おでん 天麩羅 十八番 名古屋駅店,050-5489-4907,,愛知県,名古屋市中村区名駅,5-22-11,,,
光蔵 名駅店,050-5488-0500,,愛知県,名古屋市中村区名駅,3-14-6,COLLECT MARK3F,,
朧月夜 名駅本店,050-5484-7990,,愛知県,名古屋市中村区名駅,2-36-12,,,
名古屋 今井屋本店,050-5484-9568,,愛知県,名古屋市中村区名駅,4-7-1,ミッドランドスクエア4F,,
