店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
名古屋名物 コーチン・知多豚 秀よし,050-5488-2269,,愛知県,名古屋市中村区則武,1-7-15,,https://n055111.gorp.jp/,TRUE
魚河岸本舗 ぴち天 本店,050-5485-8595,,愛知県,名古屋市中村区名駅,2-36-8,知多屋名塩ビルB1～1F,https://n056305.gorp.jp/,TRUE
うなぎ 四代目菊川 名古屋グローバルゲート店,050-5487-1788,,愛知県,名古屋市中村区平池町,4,グローバルゲート3F,https://kikukawa.gorp.jp/,TRUE
東京 竹葉亭 名古屋店,050-5488-7185,,愛知県,名古屋市中村区名駅,1-1-4,JRセントラルタワーズ12F,https://n245400.gorp.jp/,TRUE
名古屋めし 居酒屋 てしごと家 名駅店,050-5485-1077,,愛知県,名古屋市中村区名駅,3-24-7,,https://n038600.gorp.jp/,TRUE
ささら庭 名古屋 名駅店,050-5484-6618,,愛知県,名古屋市中村区名駅,4-4-18,泰生ビル6F,https://nbas600.gorp.jp/,TRUE
豆富料理と吟醸せいろ蒸し 八かく庵 名古屋セントラルタワーズ店,052-533-2911,,愛知県,名古屋市中村区名駅,1-1-4,名古屋セントラルタワーズ13F,https://n016000.gorp.jp/,TRUE
串たつ 名駅西口店,052-454-0072,,愛知県,名古屋市中村区則武,1-4-2,和ビル1F,https://n901006.gorp.jp/,TRUE
ひつまぶし う家 名駅店,050-5485-8563,,愛知県,名古屋市中村区名駅,4-4-16,1F,https://n032005.gorp.jp/,TRUE
名古屋 日本料理 濱の季,050-5485-2935,,愛知県,名古屋市中村区名駅,4-16-23,第2丸中食品ビル2F,https://hamanoki-meieki.gorp.jp/,TRUE
名古屋大酒場 かぶらや 総本家,050-5484-8904,,愛知県,名古屋市中村区椿町,15-8,チトセGLビルB2～1F,https://n241023.gorp.jp/,TRUE
三喰撰酒 三重人 名駅店,050-5485-5135,,愛知県,名古屋市中村区名駅,4-5-15,コスモス名駅east4F,https://miejin-meieki.gorp.jp/,TRUE
札幌かに本家 名古屋駅前店,050-5492-2567,,愛知県,名古屋市中村区名駅南,1-17-20,,https://n156501.gorp.jp/,TRUE
鶏しゃぶしゃぶと炭火焼のお店 鶏や鍋や なか山,050-5494-4601,,愛知県,名古屋市中村区名駅,3-15-11,M三ダイニングビル4F,https://nby0500.gorp.jp/,TRUE
串たつ 名駅本店,052-565-0722,,愛知県,名古屋市中村区名駅,2-42-7,,https://n901007.gorp.jp/,TRUE
納屋橋かりんとう,050-5494-7539,,愛知県,名古屋市中村区名駅,5-33-10,アクアタウン納屋橋1F,https://nbxw001.gorp.jp/,TRUE
朧月夜 名駅本店,050-5484-7990,,愛知県,名古屋市中村区名駅,2-36-12,,https://n092901.gorp.jp/,TRUE
